message,label,hidden_meaning
It's fine.,passive_aggressive,Upset but avoiding conflict
"Sure, why not.",sarcastic,Actually annoyed
No worries.,neutral,Reassuring
No problem.,neutral,Genuinely okay
Whatever.,dismissive,Doesn’t care anymore
Right.,sarcastic,Doubtful
If you say so.,passive_aggressive,I disagree but won’t argue
Sure.,neutral,Simple agreement
Great.,neutral,Positive
No problem.,neutral,Genuinely okay
Interesting.,neutral,Polite but detached
I'll think about it.,uncertain,Hesitant
Interesting.,neutral,Polite but detached
No worries.,neutral,Reassuring
I guess so.,uncertain,Confused
If you say so.,passive_aggressive,I disagree but won’t argue
Good for you.,sarcastic,Slight jealousy
Whatever.,dismissive,Doesn’t care anymore
Interesting.,neutral,Polite but detached
I'm alright.,hurt,Feeling hurt but hiding it
Good for you.,sarcastic,Slight jealousy
Alright.,neutral,Calm agreement
Right.,sarcastic,Doubtful
Good for you.,sarcastic,Slight jealousy
I'm alright.,hurt,Feeling hurt but hiding it
Alright.,neutral,Calm agreement
Totally okay.,neutral,Truly fine
"Yeah, great.",sarcastic,Not actually happy
I'm alright.,hurt,Feeling hurt but hiding it
Let it be.,avoidant,Avoiding conflict
Totally okay.,neutral,Truly fine
As you wish.,reluctant,Reluctant acceptance
Do whatever you want.,angry,Frustrated and dismissive
Leave it.,angry,Frustrated shutdown
Leave it.,angry,Frustrated shutdown
No worries.,neutral,Reassuring
As you wish.,reluctant,Reluctant acceptance
I'm alright.,hurt,Feeling hurt but hiding it
We’ll see.,uncertain,Unsure
As you wish.,reluctant,Reluctant acceptance
Never mind.,hurt,Backing down sadly
Alright.,neutral,Calm agreement
Sure.,neutral,Simple agreement
I'm alright.,hurt,Feeling hurt but hiding it
That's interesting.,neutral,No strong feeling
Whatever.,dismissive,Doesn’t care anymore
Forget it.,hurt,Feeling dismissed
We’ll see.,uncertain,Unsure
Up to you.,neutral,No preference
Never mind.,hurt,Backing down sadly
Interesting.,neutral,Polite but detached
Let it be.,avoidant,Avoiding conflict
Fine by me.,neutral,Truly fine
Good for you.,sarcastic,Slight jealousy
Whatever makes you happy.,passive_aggressive,I don’t really care
Sure.,neutral,Simple agreement
Alright.,neutral,Calm agreement
Interesting.,neutral,Polite but detached
Up to you.,neutral,No preference
Up to you.,neutral,No preference
Up to you.,neutral,No preference
"Yeah, great.",sarcastic,Not actually happy
Okay... as you say.,reluctant,Not really agreeing
Leave it.,angry,Frustrated shutdown
Leave it.,angry,Frustrated shutdown
As you wish.,reluctant,Reluctant acceptance
Up to you.,neutral,No preference
I'm alright.,hurt,Feeling hurt but hiding it
That's interesting.,neutral,No strong feeling
Good for you.,sarcastic,Slight jealousy
Right.,sarcastic,Doubtful
As you wish.,reluctant,Reluctant acceptance
We’ll see.,uncertain,Unsure
"Yeah, great.",sarcastic,Not actually happy
Sure.,neutral,Simple agreement
Cool.,neutral,Casual acceptance
Right.,sarcastic,Doubtful
Whatever makes you happy.,passive_aggressive,I don’t really care
As you wish.,reluctant,Reluctant acceptance
Great.,neutral,Positive
Alright.,neutral,Calm agreement
Never mind.,hurt,Backing down sadly
Totally okay.,neutral,Truly fine
Sure.,neutral,Simple agreement
No problem.,neutral,Genuinely okay
It's fine.,passive_aggressive,Upset but avoiding conflict
I guess so.,uncertain,Confused
I don't mind.,neutral,No issue
Up to you.,neutral,No preference
Leave it.,angry,Frustrated shutdown
Okay then.,neutral,Neutral agreement
Okay then.,neutral,Neutral agreement
Leave it.,angry,Frustrated shutdown
"Yeah, great.",sarcastic,Not actually happy
Right.,sarcastic,Doubtful
It's fine.,passive_aggressive,Upset but avoiding conflict
"Yeah, great.",sarcastic,Not actually happy
Leave it.,angry,Frustrated shutdown
It's fine.,passive_aggressive,Upset but avoiding conflict
I'm alright.,hurt,Feeling hurt but hiding it
Good for you.,sarcastic,Slight jealousy
Never mind.,hurt,Backing down sadly
I don't mind.,neutral,No issue
No problem.,neutral,Genuinely okay
Do whatever you want.,angry,Frustrated and dismissive
That's interesting.,neutral,No strong feeling
Interesting.,neutral,Polite but detached
Okay then.,neutral,Neutral agreement
As you wish.,reluctant,Reluctant acceptance
Whatever makes you happy.,passive_aggressive,I don’t really care
Never mind.,hurt,Backing down sadly
We’ll see.,uncertain,Unsure
Forget it.,hurt,Feeling dismissed
No worries.,neutral,Reassuring
"Yeah, great.",sarcastic,Not actually happy
Interesting.,neutral,Polite but detached
I don't mind.,neutral,No issue
Interesting.,neutral,Polite but detached
Good for you.,sarcastic,Slight jealousy
As you wish.,reluctant,Reluctant acceptance
Great.,neutral,Positive
We’ll see.,uncertain,Unsure
Sure.,neutral,Simple agreement
Forget it.,hurt,Feeling dismissed
Whatever.,dismissive,Doesn’t care anymore
Let it be.,avoidant,Avoiding conflict
Totally okay.,neutral,Truly fine
Let it be.,avoidant,Avoiding conflict
Let it be.,avoidant,Avoiding conflict
I don't mind.,neutral,No issue
Whatever.,dismissive,Doesn’t care anymore
Forget it.,hurt,Feeling dismissed
No worries.,neutral,Reassuring
Let it be.,avoidant,Avoiding conflict
Fine by me.,neutral,Truly fine
Okay then.,neutral,Neutral agreement
Sure.,neutral,Simple agreement
Whatever makes you happy.,passive_aggressive,I don’t really care
No worries.,neutral,Reassuring
Alright.,neutral,Calm agreement
We’ll see.,uncertain,Unsure
That's interesting.,neutral,No strong feeling
Okay... as you say.,reluctant,Not really agreeing
Okay... as you say.,reluctant,Not really agreeing
"Yeah, great.",sarcastic,Not actually happy
Let it be.,avoidant,Avoiding conflict
No problem.,neutral,Genuinely okay
No worries.,neutral,Reassuring
Let it be.,avoidant,Avoiding conflict
Good for you.,sarcastic,Slight jealousy
Forget it.,hurt,Feeling dismissed
Right.,sarcastic,Doubtful
Whatever.,dismissive,Doesn’t care anymore
No worries.,neutral,Reassuring
I don't mind.,neutral,No issue
Up to you.,neutral,No preference
That's interesting.,neutral,No strong feeling
I guess so.,uncertain,Confused
Forget it.,hurt,Feeling dismissed
Let it be.,avoidant,Avoiding conflict
Totally okay.,neutral,Truly fine
It's fine.,passive_aggressive,Upset but avoiding conflict
Totally okay.,neutral,Truly fine
"Yeah, great.",sarcastic,Not actually happy
Good for you.,sarcastic,Slight jealousy
Okay then.,neutral,Neutral agreement
That's interesting.,neutral,No strong feeling
I guess so.,uncertain,Confused
Fine by me.,neutral,Truly fine
Whatever makes you happy.,passive_aggressive,I don’t really care
Good for you.,sarcastic,Slight jealousy
"Yeah, great.",sarcastic,Not actually happy
Great.,neutral,Positive
Okay then.,neutral,Neutral agreement
Great.,neutral,Positive
Do whatever you want.,angry,Frustrated and dismissive
"Yeah, great.",sarcastic,Not actually happy
Do whatever you want.,angry,Frustrated and dismissive
Leave it.,angry,Frustrated shutdown
Interesting.,neutral,Polite but detached
Leave it.,angry,Frustrated shutdown
Leave it.,angry,Frustrated shutdown
"Yeah, great.",sarcastic,Not actually happy
Fine by me.,neutral,Truly fine
Cool.,neutral,Casual acceptance
Let it be.,avoidant,Avoiding conflict
Do whatever you want.,angry,Frustrated and dismissive
Okay then.,neutral,Neutral agreement
No problem.,neutral,Genuinely okay
That's interesting.,neutral,No strong feeling
That's interesting.,neutral,No strong feeling
Do whatever you want.,angry,Frustrated and dismissive
Leave it.,angry,Frustrated shutdown
Let it be.,avoidant,Avoiding conflict
Whatever.,dismissive,Doesn’t care anymore
Great.,neutral,Positive
Okay... as you say.,reluctant,Not really agreeing
Right.,sarcastic,Doubtful
That's interesting.,neutral,No strong feeling
I guess so.,uncertain,Confused
